frequency_hz,frequency_ghz,wavelength_m,cback_m2,rcs_normalized
2.000000000000000000e+09,2.000000000000000000e+00,1.498962289999999919e-01,4.763414256237389699e-04,6.736157932932373819e-05
2.016000000000000000e+09,2.016000000000000014e+00,1.487065763888889003e-01,9.456653704653998974e-03,1.337307851992638585e-03
2.032000000000000000e+09,2.032000000000000028e+00,1.475356584645669267e-01,6.234964778262174281e-03,8.817143585118326563e-04
2.048000000000000000e+09,2.048000000000000043e+00,1.463830361328125051e-01,1.106684783353585101e-04,1.565012632038291317e-05
2.064000000000000000e+09,2.064000000000000057e+00,1.452482839147286875e-01,6.750094010437065160e-03,9.545610956868855364e-04
2.080000000000000000e+09,2.080000000000000071e+00,1.441309894230769217e-01,7.111316808876312623e-03,1.005643233170023295e-03
2.096000000000000000e+09,2.096000000000000085e+00,1.430307528625954228e-01,3.613069013585404722e-04,5.109403085449923550e-05
2.112000000000000000e+09,2.112000000000000099e+00,1.419471865530302912e-01,4.968667596168100525e-03,7.026415894902545128e-04
2.128000000000000000e+09,2.128000000000000114e+00,1.408799144736841980e-01,1.027209261872653531e-02,1.452622729397198440e-03
2.144000000000000000e+09,2.144000000000000128e+00,1.398285718283582002e-01,1.410128682633624616e-03,1.994126271831139774e-04
2.160000000000000000e+09,2.160000000000000142e+00,1.387928046296296181e-01,5.071261038290796400e-03,7.171497886903703241e-04
2.176000000000000000e+09,2.176000000000000156e+00,1.377722693014706012e-01,1.394479047918334262e-02,1.971995420856577277e-03
2.192000000000000000e+09,2.192000000000000171e+00,1.367666322992700800e-01,2.281505279270482685e-03,3.226379033874865834e-04
2.208000000000000000e+09,2.208000000000000185e+00,1.357755697463768063e-01,5.666434578930108421e-03,8.013159508501946230e-04
2.224000000000000000e+09,2.224000000000000199e+00,1.347987670863309284e-01,1.468835526483109472e-02,2.077146255112312986e-03
2.240000000000000000e+09,2.240000000000000213e+00,1.338359187500000047e-01,2.236070725760311382e-03,3.162127992165440337e-04
2.256000000000000000e+09,2.255999999999999783e+00,1.328867278368794369e-01,4.604094025026537682e-03,6.510856041974158719e-04
2.272000000000000000e+09,2.271999999999999797e+00,1.319509058098591592e-01,1.225784269759872501e-02,1.733436562229405701e-03
2.288000000000000000e+09,2.287999999999999812e+00,1.310281722027971940e-01,2.689914543565680161e-03,3.803928908308475240e-04
2.304000000000000000e+09,2.303999999999999826e+00,1.301182543402777669e-01,2.133991243266330703e-03,3.017772813547275825e-04
2.320000000000000000e+09,2.319999999999999840e+00,1.292208870689655065e-01,9.927894627437173006e-03,1.403948146318743711e-03
2.336000000000000000e+09,2.335999999999999854e+00,1.283358125000000072e-01,5.806704758138604185e-03,8.211521865752711979e-04
2.352000000000000000e+09,2.351999999999999869e+00,1.274627797619047598e-01,3.237330801453442851e-04,4.578054812508027568e-05
2.368000000000000000e+09,2.367999999999999883e+00,1.266015447635135127e-01,1.123416253354835720e-02,1.588673354855116293e-03
2.384000000000000000e+09,2.383999999999999897e+00,1.257518699664429418e-01,1.075415046639454329e-02,1.520792693629243429e-03
2.400000000000000000e+09,2.399999999999999911e+00,1.249135241666666646e-01,1.417822575558397389e-04,2.005006551200601641e-05
2.416000000000000000e+09,2.415999999999999925e+00,1.240862822847682151e-01,1.458532850411982384e-02,2.062576778385387388e-03
2.432000000000000000e+09,2.431999999999999940e+00,1.232699251644736871e-01,1.391324103495507856e-02,1.967533872320471108e-03
2.448000000000000000e+09,2.447999999999999954e+00,1.224642393790849743e-01,3.541487781962277654e-04,5.008176852477258577e-05
2.464000000000000000e+09,2.463999999999999968e+00,1.216690170454545472e-01,1.521598332399551508e-02,2.151760507520113566e-03
2.480000000000000000e+09,2.479999999999999982e+00,1.208840556451612896e-01,1.281795061686448640e-02,1.812643937458629671e-03
2.496000000000000000e+09,2.495999999999999996e+00,1.201091578525640968e-01,4.216375070792668565e-05,5.962565263801587277e-06
2.512000000000000000e+09,2.512000000000000011e+00,1.193441313694267453e-01,1.119545645758686717e-02,1.583199754898965798e-03
2.528000000000000000e+09,2.528000000000000025e+00,1.185887887658227807e-01,1.071895529155943855e-02,1.515815585962069882e-03
2.544000000000000000e+09,2.544000000000000039e+00,1.178429473270440203e-01,5.137945095739745224e-04,7.265798806038893795e-05
2.560000000000000000e+09,2.560000000000000053e+00,1.171064289062500041e-01,6.080668799358951437e-03,8.598946714890730487e-04
2.576000000000000000e+09,2.576000000000000068e+00,1.163790597826086931e-01,1.279374829850885714e-02,1.809221378973964152e-03
2.592000000000000000e+09,2.592000000000000082e+00,1.156606705246913530e-01,2.947301472607178046e-03,4.167911318955562863e-04
2.608000000000000000e+09,2.608000000000000096e+00,1.149510958588957077e-01,4.137141084240388532e-03,5.850516926545781772e-04
2.624000000000000000e+09,2.624000000000000110e+00,1.142501745426829224e-01,1.875699609579829091e-02,2.652511019448828590e-03
2.640000000000000000e+09,2.640000000000000124e+00,1.135577492424242468e-01,5.911691371689172664e-03,8.359988148901259866e-04
2.656000000000000000e+09,2.656000000000000139e+00,1.128736664156626546e-01,4.923701875238906470e-03,6.962827850392120212e-04
2.672000000000000000e+09,2.672000000000000153e+00,1.121977761976047927e-01,2.326565080132657684e-02,3.290100121041836505e-03
2.688000000000000000e+09,2.688000000000000167e+00,1.115299322916666613e-01,6.528611107104171155e-03,9.232402040734559185e-04
2.704000000000000000e+09,2.704000000000000181e+00,1.108699918639053233e-01,5.309877867745809409e-03,7.508936657121896736e-04
2.720000000000000000e+09,2.720000000000000195e+00,1.102178154411764671e-01,2.130585062689241763e-02,3.012955980687250478e-03
2.736000000000000000e+09,2.736000000000000210e+00,1.095732668128654996e-01,5.776901325953086655e-03,8.169375494401070201e-04
2.752000000000000000e+09,2.751999999999999780e+00,1.089362129360465087e-01,3.166150247014081886e-03,4.477395195127621859e-04
2.768000000000000000e+09,2.767999999999999794e+00,1.083065238439306355e-01,1.532639577649699304e-02,2.167374428078008494e-03
2.784000000000000000e+09,2.783999999999999808e+00,1.076840725574712693e-01,7.142154492334081874e-03,1.010004128420426963e-03
2.800000000000000000e+09,2.799999999999999822e+00,1.070687349999999982e-01,8.410478545214564563e-04,1.189363526338684093e-04
2.816000000000000000e+09,2.815999999999999837e+00,1.064603899147727323e-01,1.180755173683312696e-02,1.669758896078133922e-03
2.832000000000000000e+09,2.831999999999999851e+00,1.058589187853107294e-01,1.349306201295883550e-02,1.908114470605293050e-03
2.848000000000000000e+09,2.847999999999999865e+00,1.052642057584269597e-01,2.157900890136498775e-04,3.051584518508102550e-05
2.864000000000000000e+09,2.863999999999999879e+00,1.046761375698324059e-01,1.360502507432862981e-02,1.923947669724054496e-03
2.880000000000000000e+09,2.879999999999999893e+00,1.040946034722222274e-01,2.148693112988939863e-02,3.038563387499817157e-03
2.896000000000000000e+09,2.895999999999999908e+00,1.035194951657458506e-01,9.310649881639218930e-04,1.316660795958164384e-04
2.912000000000000000e+09,2.911999999999999922e+00,1.029507067307692258e-01,1.712799236204178358e-02,2.422146288740143795e-03
2.928000000000000000e+09,2.927999999999999936e+00,1.023881345628415290e-01,2.492260848073265395e-02,3.524417944692155406e-03
2.944000000000000000e+09,2.943999999999999950e+00,1.018316773097826117e-01,8.567180809212075797e-04,1.211523496938618613e-04
2.960000000000000000e+09,2.959999999999999964e+00,1.012812358108108046e-01,1.642587863982919449e-02,2.322857235441662480e-03
2.976000000000000000e+09,2.975999999999999979e+00,1.007367130376344150e-01,2.179478900040944522e-02,3.082098950966794589e-03
2.992000000000000000e+09,2.991999999999999993e+00,1.001980140374331557e-01,5.817943736289473951e-04,8.227415409281894096e-05
3.008000000000000000e+09,3.008000000000000007e+00,9.966504587765957768e-02,1.097490385178628326e-02,1.552010420835754417e-03
3.024000000000000000e+09,3.024000000000000021e+00,9.913771759259258631e-02,1.718449868005115025e-02,2.430137100830886791e-03
3.040000000000000000e+09,3.040000000000000036e+00,9.861594013157894134e-02,3.077171808395405810e-03,4.351566790769069220e-04
3.056000000000000000e+09,3.056000000000000050e+00,9.809962630890052548e-02,4.123965985552475837e-03,5.831885428051285366e-04
3.072000000000000000e+09,3.072000000000000064e+00,9.758869075520833214e-02,1.862829660840594273e-02,2.634311047195164301e-03
3.088000000000000000e+09,3.088000000000000078e+00,9.708304987046631473e-02,9.484060817333770863e-03,1.341183614829239952e-03
3.104000000000000000e+09,3.104000000000000092e+00,9.658262177835051643e-02,1.758844290832451080e-03,2.487260667486523445e-04
3.120000000000000000e+09,3.120000000000000107e+00,9.608732628205128579e-02,2.692884544331062766e-02,3.808128919716332640e-03
3.136000000000000000e+09,3.136000000000000121e+00,9.559708482142857677e-02,1.659834963863522292e-02,2.347247133617885641e-03
3.152000000000000000e+09,3.152000000000000135e+00,9.511182043147207998e-02,3.021435635011863671e-03,4.272747765949378817e-04
3.168000000000000000e+09,3.168000000000000149e+00,9.463145770202020801e-02,3.389309542910434042e-02,4.792974773240405925e-03
3.184000000000000000e+09,3.184000000000000163e+00,9.415592273869347051e-02,1.691087003866723407e-02,2.391442046313589382e-03
3.200000000000000000e+09,3.200000000000000178e+00,9.368514312499999497e-02,3.567475230488838592e-03,5.044926870034443069e-04
3.216000000000000000e+09,3.216000000000000192e+00,9.321904788557214272e-02,2.923745164634642887e-02,4.134599286391523430e-03
3.232000000000000000e+09,3.232000000000000206e+00,9.275756745049504315e-02,1.233735864627434273e-02,1.744681269484596193e-03
3.248000000000000000e+09,3.248000000000000220e+00,9.230063362068965938e-02,2.069084345400716389e-03,2.925985055556886544e-04
3.264000000000000000e+09,3.263999999999999790e+00,9.184817953431372028e-02,1.735759024629951811e-02,2.454614756234904487e-03
3.280000000000000000e+09,3.279999999999999805e+00,9.140013963414633791e-02,1.226973782883014966e-02,1.735118706134964857e-03
3.296000000000000000e+09,3.295999999999999819e+00,9.095644963592232346e-02,1.571672750261310630e-03,2.222572989696059993e-04
3.312000000000000000e+09,3.311999999999999833e+00,9.051704649758454679e-02,9.437700572289854650e-03,1.334627604463012752e-03
3.328000000000000000e+09,3.327999999999999847e+00,9.008186838942307262e-02,2.419081414753742471e-02,3.420931622956161801e-03
3.344000000000000000e+09,3.343999999999999861e+00,8.965085466507176359e-02,4.197598962502877180e-03,5.936013126195613387e-04
3.360000000000000000e+09,3.359999999999999876e+00,8.922394583333333185e-02,1.291007876709950909e-02,1.825672192753440785e-03
3.376000000000000000e+09,3.375999999999999890e+00,8.880108353080569394e-02,3.999232032272118098e-02,5.655493545318165775e-03
3.392000000000000000e+09,3.391999999999999904e+00,8.838221049528302564e-02,6.359914388190901664e-03,8.993840437598891926e-04
