frequency_hz,frequency_ghz,wavelength_m,cback_m2,rcs_normalized
2.000000000000000000e+09,2.000000000000000000e+00,1.498962289999999919e-01,4.575846044605608436e-04,6.470909304788201462e-05
2.016000000000000000e+09,2.016000000000000014e+00,1.487065763888889003e-01,9.399622327032081809e-03,1.329242788865053369e-03
2.032000000000000000e+09,2.032000000000000028e+00,1.475356584645669267e-01,6.197777837403126676e-03,8.764555862700283435e-04
2.048000000000000000e+09,2.048000000000000043e+00,1.463830361328125051e-01,1.067380284029923132e-04,1.509430375136672567e-05
2.064000000000000000e+09,2.064000000000000057e+00,1.452482839147286875e-01,6.787564018065788719e-03,9.598598976712974023e-04
2.080000000000000000e+09,2.080000000000000071e+00,1.441309894230769217e-01,7.134978165659875728e-03,1.008989291850366640e-03
2.096000000000000000e+09,2.096000000000000085e+00,1.430307528625954228e-01,3.580554224821016302e-04,5.063422463045298840e-05
2.112000000000000000e+09,2.112000000000000099e+00,1.419471865530302912e-01,5.000222409599800605e-03,7.071038973095212241e-04
2.128000000000000000e+09,2.128000000000000114e+00,1.408799144736841980e-01,1.032707453053383073e-02,1.460397968363734466e-03
2.144000000000000000e+09,2.144000000000000128e+00,1.398285718283582002e-01,1.423224741687159449e-03,2.012645996830514968e-04
2.160000000000000000e+09,2.160000000000000142e+00,1.387928046296296181e-01,5.171041816733990687e-03,7.312602364933126330e-04
2.176000000000000000e+09,2.176000000000000156e+00,1.377722693014706012e-01,1.397396511446983257e-02,1.976121136999534067e-03
2.192000000000000000e+09,2.192000000000000171e+00,1.367666322992700800e-01,2.281349349802732143e-03,3.226158527014730704e-04
2.208000000000000000e+09,2.208000000000000185e+00,1.357755697463768063e-01,5.783632744859387199e-03,8.178894696054840856e-04
2.224000000000000000e+09,2.224000000000000199e+00,1.347987670863309284e-01,1.481324601932415552e-02,2.094807617349005429e-03
2.240000000000000000e+09,2.240000000000000213e+00,1.338359187500000047e-01,2.232896418572300357e-03,3.157639061873877611e-04
2.256000000000000000e+09,2.255999999999999783e+00,1.328867278368794369e-01,4.724005952000611894e-03,6.680428880843238383e-04
2.272000000000000000e+09,2.271999999999999797e+00,1.319509058098591592e-01,1.229951237029604412e-02,1.739329257703774514e-03
2.288000000000000000e+09,2.287999999999999812e+00,1.310281722027971940e-01,2.669980627291740870e-03,3.775739462457261141e-04
2.304000000000000000e+09,2.303999999999999826e+00,1.301182543402777669e-01,2.198116345577225648e-03,3.108454999348356316e-04
2.320000000000000000e+09,2.319999999999999840e+00,1.292208870689655065e-01,9.954189955714454197e-03,1.407666686732106419e-03
2.336000000000000000e+09,2.335999999999999854e+00,1.283358125000000072e-01,5.697106496255618588e-03,8.056534043676991889e-04
2.352000000000000000e+09,2.351999999999999869e+00,1.274627797619047598e-01,3.469687629725410108e-04,4.906641034037195911e-05
2.368000000000000000e+09,2.367999999999999883e+00,1.266015447635135127e-01,1.116738838778929405e-02,1.579230523149250743e-03
2.384000000000000000e+09,2.383999999999999897e+00,1.257518699664429418e-01,1.061982304421645387e-02,1.501796849853312193e-03
2.400000000000000000e+09,2.399999999999999911e+00,1.249135241666666646e-01,1.383116274193811363e-04,1.955926812449417518e-05
2.416000000000000000e+09,2.415999999999999925e+00,1.240862822847682151e-01,1.448699720588712131e-02,2.048671308085834794e-03
2.432000000000000000e+09,2.431999999999999940e+00,1.232699251644736871e-01,1.364779862080672292e-02,1.929996468945133605e-03
2.448000000000000000e+09,2.447999999999999954e+00,1.224642393790849743e-01,3.242590454391002636e-04,4.585492723836739150e-05
2.464000000000000000e+09,2.463999999999999968e+00,1.216690170454545472e-01,1.511227395550742390e-02,2.137094500163191219e-03
2.480000000000000000e+09,2.479999999999999982e+00,1.208840556451612896e-01,1.261069457647949303e-02,1.783334930400102148e-03
2.496000000000000000e+09,2.495999999999999996e+00,1.201091578525640968e-01,3.183541561975255845e-05,4.501989034323201599e-06
2.512000000000000000e+09,2.512000000000000011e+00,1.193441313694267453e-01,1.112348609375188833e-02,1.573022102668778085e-03
2.528000000000000000e+09,2.528000000000000025e+00,1.185887887658227807e-01,1.063309547396626073e-02,1.503673763725150688e-03
2.544000000000000000e+09,2.544000000000000039e+00,1.178429473270440203e-01,5.738438614648739243e-04,8.114983647726050947e-05
2.560000000000000000e+09,2.560000000000000053e+00,1.171064289062500041e-01,6.018891819001460572e-03,8.511585113752888733e-04
2.576000000000000000e+09,2.576000000000000068e+00,1.163790597826086931e-01,1.271195216633677974e-02,1.797654220734626850e-03
2.592000000000000000e+09,2.592000000000000082e+00,1.156606705246913530e-01,3.162644505334806164e-03,4.472437568443622473e-04
2.608000000000000000e+09,2.608000000000000096e+00,1.149510958588957077e-01,4.060770702069236085e-03,5.742518140794646616e-04
2.624000000000000000e+09,2.624000000000000110e+00,1.142501745426829224e-01,1.887638784043021642e-02,2.669394742015596383e-03
2.640000000000000000e+09,2.640000000000000124e+00,1.135577492424242468e-01,6.151386051192579696e-03,8.698951155258373555e-04
2.656000000000000000e+09,2.656000000000000139e+00,1.128736664156626546e-01,5.005754439479405404e-03,7.078862064884872433e-04
2.672000000000000000e+09,2.672000000000000153e+00,1.121977761976047927e-01,2.335862947153426183e-02,3.303248652184028952e-03
2.688000000000000000e+09,2.688000000000000167e+00,1.115299322916666613e-01,6.849848825532771877e-03,9.686678718963082860e-04
2.704000000000000000e+09,2.704000000000000181e+00,1.108699918639053233e-01,5.280540890145842686e-03,7.467449920139173324e-04
2.720000000000000000e+09,2.720000000000000195e+00,1.102178154411764671e-01,2.152351645905307281e-02,3.043737083131099145e-03
2.736000000000000000e+09,2.736000000000000210e+00,1.095732668128654996e-01,5.855672208331466795e-03,8.280768935255475695e-04
2.752000000000000000e+09,2.751999999999999780e+00,1.089362129360465087e-01,3.212198684803308554e-03,4.542514358153778437e-04
2.768000000000000000e+09,2.767999999999999794e+00,1.083065238439306355e-01,1.564025697264711731e-02,2.211758948771707766e-03
2.784000000000000000e+09,2.783999999999999808e+00,1.076840725574712693e-01,7.232571291538591150e-03,1.022790373883631938e-03
2.800000000000000000e+09,2.799999999999999822e+00,1.070687349999999982e-01,7.793014834861214032e-04,1.102045211217378071e-04
2.816000000000000000e+09,2.815999999999999837e+00,1.064603899147727323e-01,1.209478685475193389e-02,1.710378103522709314e-03
2.832000000000000000e+09,2.831999999999999851e+00,1.058589187853107294e-01,1.338566381691368851e-02,1.892926809584107722e-03
2.848000000000000000e+09,2.847999999999999865e+00,1.052642057584269597e-01,2.040358781205645240e-04,2.885362945716825610e-05
2.864000000000000000e+09,2.863999999999999879e+00,1.046761375698324059e-01,1.383663500526017068e-02,1.956700669771184280e-03
2.880000000000000000e+09,2.879999999999999893e+00,1.040946034722222274e-01,2.113996044588782944e-02,2.989496705498106456e-03
2.896000000000000000e+09,2.895999999999999908e+00,1.035194951657458506e-01,8.860980425353229056e-04,1.253071019545333692e-04
2.912000000000000000e+09,2.911999999999999922e+00,1.029507067307692258e-01,1.727727931199656008e-02,2.443257626493402623e-03
